,Content Marketing Calendar Template ,,,,,,,,,,,,,
,Week of,Project Title,Content message,Audience,Release Channel a.,Release Channel b.,Release Channel c.,Release Channel d.,Spokes,Status,Release Date,Notes,,Status Key
,,,,,,,,,,,,,,
,8-Jan,,,,drop down of options - need multiple,,,,,,,,,Planned
,,,,,,,,,,,,,,Drafting
,,,,,,,,,,,,,,Review
,,,,,,,,,,,,,,Approved
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,15-Jan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,22-Jan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,29-Jan,,,,,,,,,,,,,
